INSEE_COM;NOM_COM;NB_IRIS
59008;Aniche;4
59009;Villeneuve-d'Ascq;31
59011;Annœullin;3
59014;Anzin;6
59017;Armentières;12
59028;Auby;3
59032;Aulnoy-lez-Valenciennes;3
59033;Aulnoye-Aymeries;5
59036;Avesnes-sur-Helpe;2
59043;Bailleul;5
59051;La Bassée;2
59052;Bauvin;2
59079;Beuvrages;3
59090;Bondues;4
59094;Bourbourg;3
59112;Bruay-sur-l'Escaut;6
59122;Cambrai;12
59131;Cappelle-la-Grande;4
59136;Le Cateau-Cambrésis;3
59139;Caudry;6
59143;La Chapelle-d'Armentières;3
59152;Comines;5
59153;Condé-sur-l'Escaut;5
59155;Coudekerque-Branche;9
59163;Croix;9
59165;Cuincy;3
59170;Dechy;2
59172;Denain;6
59178;Douai;14
59179;Douchy-les-Mines;4
59183;Dunkerque;43
59205;Escaudain;3
59212;Estaires;2
59220;Faches-Thumesnil;8
59225;Feignies;3
59227;Fenain;2
59230;Ferrière-la-Grande;3
59234;Flers-en-Escrebieux;3
59239;Flines-lez-Raches;2
59249;Fourmies;6
59253;Fresnes-sur-Escaut;3
59268;La Gorgue;2
59271;Grande-Synthe;10
59272;Grand-Fort-Philippe;3
59273;Gravelines;5
59276;Guesnain;2
59279;Halluin;9
59286;Haubourdin;6
59291;Hautmont;5
59295;Hazebrouck;10
59299;Hem;10
59317;Houplines;3
59324;Jeumont;6
59327;Lallaing;3
59328;Lambersart;12
59329;Lambres-lez-Douai;2
59339;Leers;3
59340;Leffrinckoucke;2
59343;Lesquin;2
59350;Lille;110
59352;Linselles;3
59359;Loon-Plage;3
59360;Loos;11
59365;Louvroil;3
59367;Lys-lez-Lannoy;5
59368;La Madeleine;9
59378;Marcq-en-Barœul;18
59383;Marly;5
59386;Marquette-lez-Lille;5
59392;Maubeuge;15
59400;Merville;4
59410;Mons-en-Barœul;11
59414;Montigny-en-Ostrevent;2
59421;Mouvaux;5
59426;Neuville-en-Ferrain;5
59431;Nieppe;2
59447;Onnaing;4
59449;Orchies;3
59452;Ostricourt;2
59456;Pecquencourt;3
59457;Pérenchies;3
59459;Petite-Forêt;2
59482;Quesnoy-sur-Deûle;2
59484;Quiévrechain;2
59491;Raismes;6
59507;Ronchin;10
59508;Roncq;7
59509;Roost-Warendin;3
59512;Roubaix;38
59524;Sainghin-en-Weppes;2
59526;Saint-Amand-les-Eaux;6
59527;Saint-André-lez-Lille;6
59544;Saint-Saulve;5
59553;Santes;2
59560;Seclin;5
59569;Sin-le-Noble;6
59571;Solesmes;2
59574;Somain;4
59586;Templeuve-en-Pévèle;2
59588;Téteghem-Coudekerque-Village;4
59599;Tourcoing;41
59603;Trith-Saint-Léger;2
59606;Valenciennes;16
59616;Vieux-Condé;5
59632;Wallers;2
59636;Wambrechies;4
59646;Wasquehal;8
59648;Wattignies;8
59650;Wattrelos;19
59653;Wavrin;3
59654;Waziers;3
59663;Wormhout;2
